Date,Open,High,Low,Close,% Change,Volume
1/1992,1.52,1.97,1.48,1.87,0.22210000000000002,2359977600
12/1991,1.27,1.54,1.26,1.53,0.19519999999999998,1043036800
11/1991,1.30,1.38,1.24,1.28,0.0095,1100080000
10/1991,1.33,1.42,1.20,1.27,-0.038599999999999995,1391708800
9/1991,1.54,1.56,1.25,1.32,-0.1467,1657193600
8/1991,1.48,1.65,1.38,1.55,0.053099999999999994,1278780800
7/1991,1.46,1.49,1.28,1.47,0.011000000000000001,1601216000
6/1991,1.74,1.85,1.36,1.45,-0.1659,1910780800
5/1991,1.52,1.74,1.46,1.74,0.1319,1573110400
4/1991,1.46,1.73,1.45,1.54,0.053399999999999996,1460339200
3/1991,1.48,1.65,1.35,1.46,-0.0208,1613091200
2/1991,1.43,1.59,1.42,1.49,0.0434,1227955200
1/1991,1.19,1.43,1.18,1.43,0.1887,1716937600
12/1990,1.18,1.26,1.09,1.20,0.0265,874662400
11/1990,1.03,1.20,1.02,1.17,0.11939999999999999,897820800
10/1990,1.03,1.13,0.88,1.05,0.0077,1356022400
9/1990,1.03,1.08,0.93,1.04,-0.0038,1079324800
8/1990,1.39,1.39,0.95,1.04,-0.2502,1970364800
7/1990,1.47,1.63,1.23,1.39,-0.053099999999999994,1415872000
6/1990,1.51,1.52,1.41,1.47,-0.0259,907753600
5/1990,1.23,1.54,1.23,1.51,0.222,1603756800
4/1990,1.29,1.38,1.21,1.23,-0.054400000000000004,1090665600
3/1990,1.25,1.37,1.21,1.31,0.0374,1354588800
2/1990,1.23,1.30,1.19,1.26,0.0194,905728000
1/1990,1.08,1.24,1.06,1.23,0.1447,1625068800
12/1989,1.09,1.13,0.94,1.08,-0.0074,854627200
11/1989,1.05,1.09,0.92,1.09,0.0294,816787200
10/1989,1.01,1.09,0.94,1.06,0.0466,1284700800
9/1989,0.93,1.02,0.92,1.01,0.07519999999999999,826406400
8/1989,0.95,1.04,0.88,0.94,-0.016399999999999998,1310659200
7/1989,0.91,0.98,0.86,0.95,0.0516,849689600
6/1989,1.02,1.06,0.88,0.91,-0.10800000000000001,1082278400
5/1989,0.90,1.03,0.88,1.02,0.121,942182400
4/1989,0.82,0.95,0.77,0.91,0.1048,1140284800
3/1989,0.80,0.85,0.73,0.82,0.0194,874675200
2/1989,0.82,0.87,0.76,0.80,-0.0096,979574400
1/1989,0.74,0.81,0.71,0.81,0.0947,1333001600
12/1988,0.63,0.75,0.62,0.74,0.1875,1055660800
11/1988,0.78,0.80,0.60,0.63,-0.19190000000000002,1653020800
10/1988,0.84,0.88,0.74,0.77,-0.1001,1581792000
9/1988,0.87,0.93,0.80,0.86,-0.0178,1275398400
8/1988,1.06,1.11,0.87,0.88,-0.1943,1209648000
7/1988,1.13,1.14,1.03,1.09,-0.0381,922579200
6/1988,0.96,1.16,0.95,1.13,0.17489999999999997,1314406400
5/1988,0.98,1.04,0.91,0.96,-0.008199999999999999,737900800
4/1988,0.91,1.05,0.91,0.97,0.0552,951699200
3/1988,0.88,1.02,0.86,0.92,0.04,1543497600
2/1988,0.80,0.91,0.72,0.88,0.10779999999999999,1054080000
1/1988,0.84,0.91,0.68,0.80,-0.0377,1298822400
12/1987,0.69,0.88,0.65,0.83,0.2325,1350620800
11/1987,0.81,0.89,0.63,0.67,-0.17300000000000001,1339526400
10/1987,1.21,1.31,0.68,0.81,-0.3246,2613120000
9/1987,1.10,1.23,1.07,1.20,0.0946,1329244848
8/1987,0.98,1.17,0.93,1.10,0.1047,1222412832
